folio,region,comuna,pco1,sexo,edad,ecivil,yaimcorh,yautcor,ytotcor,yautcorh,ymonecorh,ytotcorh,yoprcor,yoprcorh,ytrabajocor,ytrabajocorh,ypchautcor,ypc,ypchtrabajo,esc,educ,depen
220111020101,2,2201,4,2,6,8,0,NA,NA,1220000,1220000,1220000,NA,NA,NA,1220000,305000,305000,305000,NA,1,3
1312610040701,13,13126,4,2,28,8,0,NA,11091,1352500,1404232,1404232,NA,NA,NA,1352500,169063,175529,169063,12,6,NA
410111140501,4,4101,1,2,56,8,200000,NA,114646,270000,384646,584646,NA,NA,NA,270000,135000,292323,135000,9,3,NA
570530020501,5,5705,1,2,47,5,300000,180000,180000,180000,180000,480000,180000,180000,180000,180000,60000,160000,60000,12,6,NA
1312210370401,13,13122,1,2,69,8,200000,145000,145000,763833,763833,963833,15000,15000,15000,633833,381917,481917,316917,3,1,NA
811010330102,8,8110,6,1,11,8,100000,NA,NA,200000,200000,300000,NA,NA,NA,200000,50000,75000,50000,NA,1,1
911510020401,9,9115,1,1,81,1,250000,325000,325000,545000,545000,795000,NA,NA,NA,0,272500,397500,0,12,6,NA
1030110590201,10,10301,4,2,0,8,150000,NA,NA,420000,420000,570000,NA,NA,NA,420000,105000,142500,105000,NA,0,NA
1310510141001,13,13105,11,2,59,8,800000,500000,500000,4900000,4900000,5700000,500000,500000,500000,4900000,816667,950000,816667,15,8,NA
1311710200101,13,13117,1,1,53,1,300000,650000,650000,800000,804932,1104932,650000,650000,650000,650000,200000,276233,162500,12,5,NA
430130060701,4,4301,5,2,28,2,70000,330000,330000,2228334,2332980,2402980,325000,325000,330000,2228334,278542,300373,278542,15,8,NA
921110190101,9,9211,10,2,30,8,100000,652533,652533,942533,942533,1042533,652533,652533,652533,652533,314178,347511,217511,17,11,NA
921110090601,9,9211,5,1,16,8,0,NA,NA,0,142484,142484,NA,NA,NA,0,0,23747,0,11,4,1
912130020801,9,9121,5,2,36,2,60000,95000,270516,195000,415789,475789,NA,NA,50000,150000,32500,79298,25000,12,5,NA
1312310860501,13,13123,11,1,27,8,0,500000,500000,1893020,1926353,1926353,NA,NA,NA,893020,946510,963177,446510,12,5,NA
1510112700301,15,15101,5,2,24,8,250000,60000,63684,330000,339701,589701,NA,NA,NA,200000,82500,147425,50000,14,7,NA
580310010101,5,5803,2,2,43,2,80000,2083,33492,764166,960008,1040008,NA,NA,2083,604166,127361,173335,100694,12,5,NA
1340110192101,13,13401,5,2,17,8,170000,NA,11091,313738,343288,513288,NA,NA,NA,313738,156869,256644,156869,9,3,1
1030510080301,10,10305,1,1,57,1,120000,270000,276000,376000,435932,555932,270000,270000,270000,270000,188000,277966,135000,6,1,NA
841130022001,16,16106,2,1,70,1,120000,192461,197393,192461,306971,426971,NA,NA,NA,0,48115,106743,0,2,1,NA
710210120101,7,7102,9,1,42,2,200000,264915,264915,566415,573221,773221,264915,264915,264915,566415,141604,193305,141604,12,5,NA
1410130010501,14,14101,4,2,21,8,170000,NA,NA,408333,420003,590003,NA,NA,NA,408333,102083,147501,102083,15,9,9
1311411310102,13,13114,1,1,35,8,300000,1116667,1116667,1116667,1116667,1416667,400000,400000,400000,400000,1116667,1416667,400000,13,6,NA
1110110391301,11,11101,5,1,2,8,250000,NA,NA,1000000,1000000,1250000,NA,NA,NA,1000000,250000,312500,250000,NA,0,99
1410430011501,14,14104,4,1,10,8,200000,NA,11091,782500,856375,1056375,NA,NA,NA,782500,97813,132047,97813,NA,1,2
1410110290501,14,14101,1,2,86,7,380000,450000,450000,1250000,1250000,1630000,NA,NA,NA,800000,625000,815000,400000,16,11,NA
110710231101,1,1107,5,2,36,8,200000,265000,265000,634640,634640,834640,265000,265000,265000,530000,158660,208660,132500,7,1,NA
220110340201,2,2201,2,2,27,2,400000,NA,NA,1214000,1214000,1614000,NA,NA,NA,1214000,404667,538000,404667,9,3,NA
720320031401,7,7203,4,2,20,8,100000,NA,NA,485000,489302,589302,NA,NA,NA,485000,161667,196434,161667,15,9,8
810310160401,8,8103,13,2,72,8,300000,245874,245874,654207,654207,954207,NA,NA,NA,350000,218069,318069,116667,14,7,NA
830610120301,8,8306,2,2,28,1,100000,350000,432091,550000,713205,813205,NA,NA,350000,550000,68750,101651,68750,12,5,NA
920130021201,9,9201,1,1,30,1,25000,303333,319967,318333,415463,440463,270000,270000,303333,303333,53056,73411,50556,11,3,NA
910110820701,9,9101,2,2,35,2,0,326000,329684,746000,749684,749684,270000,270000,326000,746000,248667,249895,248667,12,5,NA
630110320401,6,6301,1,1,48,2,240000,350000,350000,350000,350000,590000,350000,350000,350000,350000,87500,147500,87500,6,1,NA
410210270301,4,4102,4,2,9,8,150000,NA,NA,654167,654167,804167,NA,NA,NA,654167,163542,201042,163542,NA,1,1
1312110210701,13,13121,2,2,64,1,0,NA,NA,383333,394352,394352,NA,NA,NA,383333,76667,78870,76667,11,4,NA
912010110401,9,9120,10,2,1,8,0,NA,115737,300000,441531,441531,NA,NA,NA,300000,75000,110383,75000,NA,0,NA
630820011801,6,6308,2,2,42,1,80000,NA,NA,360000,360000,440000,NA,NA,NA,360000,90000,110000,90000,12,5,NA
110711130201,1,1107,11,1,24,8,0,300000,300000,1550000,1550000,1550000,300000,300000,300000,1550000,221429,221429,221429,11,4,NA
910110790101,9,9101,1,1,33,1,200000,500000,500000,984167,992153,1192153,500000,500000,500000,984167,246042,298038,246042,12,5,NA
1510130102001,15,15101,2,2,27,2,100000,NA,33157,290000,345262,445262,NA,NA,NA,290000,72500,111316,72500,12,6,NA
610111370801,6,6101,5,2,9,8,170000,35000,35000,271250,316807,486807,NA,NA,NA,201250,67813,121702,50313,NA,1,1
610610090401,6,6106,5,1,29,8,250000,608333,608333,2266666,2266666,2516666,600000,600000,608333,1966666,755555,838889,655555,17,11,NA
1312311612301,13,13123,1,1,24,8,0,400000,400000,400000,400000,400000,NA,NA,NA,0,400000,400000,0,17,9,8
840320010701,16,16202,2,1,77,2,50000,NA,109578,211500,326010,376010,NA,NA,NA,7500,105750,188005,3750,8,3,NA
410210860401,4,4102,4,1,8,8,0,NA,NA,470000,481091,481091,NA,NA,NA,470000,117500,120273,117500,NA,1,2
1210113880301,12,12101,5,1,28,8,0,400000,400000,700000,700000,700000,400000,400000,400000,700000,350000,350000,350000,12,5,NA
1010510020301,10,10105,1,1,37,1,0,1287500,1287500,2070833,2070833,2070833,1150000,1150000,1200000,1983333,690278,690278,661111,17,11,NA
1313010220601,13,13130,5,2,62,4,300000,62000,62000,522000,638200,938200,62000,62000,62000,522000,104400,187640,104400,10,4,NA
310111670401,3,3101,1,1,55,1,200000,350000,356000,1713000,1719000,1919000,350000,350000,350000,1713000,571000,639667,571000,7,1,NA
811010840101,8,8110,1,1,61,1,0,936667,936667,1406667,1516245,1516245,700000,700000,700000,950000,351667,379061,237500,14,7,NA
630210030801,6,6302,1,1,45,1,100000,350000,356000,350000,396641,496641,350000,350000,350000,350000,70000,99328,70000,9,3,NA
1310310080901,13,13103,1,1,44,8,0,270000,374646,540000,644646,644646,270000,270000,270000,540000,270000,322323,270000,9,3,NA
570110321901,5,5701,1,2,32,8,120000,280000,290368,413000,435368,555368,280000,280000,280000,280000,137667,185123,93333,NA,99,NA
540210030401,5,5402,5,2,47,1,120000,NA,22143,586000,630286,750286,NA,NA,NA,480000,117200,150057,96000,12,6,NA
1420430011401,14,14204,1,1,38,1,0,400000,404302,400000,404302,404302,400000,400000,400000,400000,80000,80860,80000,12,5,NA
1410830021201,14,14108,1,1,62,1,80000,402500,402500,402500,402500,482500,350000,350000,402500,402500,201250,241250,201250,12,5,NA
110711210301,1,1107,13,2,21,8,250003,NA,NA,1245263,1245263,1495266,NA,NA,NA,1245263,249053,299053,249053,16,9,10
410210880301,4,4102,5,2,36,8,280000,200000,200000,200000,200000,480000,200000,200000,200000,200000,100000,240000,100000,12,6,NA
840820020701,16,16204,4,2,4,8,100000,NA,NA,399000,399000,499000,NA,NA,NA,275000,133000,166333,91667,NA,0,1
410110870301,4,4101,1,1,47,1,400000,1100000,1100000,1100000,1100000,1500000,1100000,1100000,1100000,1100000,220000,300000,220000,14,7,NA
110711150801,1,1107,5,2,19,8,350000,NA,NA,700000,700000,1050000,NA,NA,NA,700000,233333,350000,233333,14,7,10
1020520020901,10,10205,5,1,5,8,0,NA,11091,452500,499050,499050,NA,NA,NA,452500,226250,249525,226250,NA,0,2
630230011601,6,6302,4,2,19,8,100000,NA,NA,310000,354109,454109,NA,NA,NA,310000,77500,113527,77500,13,7,10
510111050601,5,5101,13,1,21,8,250000,170000,170000,1356500,1466078,1716078,NA,NA,NA,584000,226083,286013,97333,13,7,11
1240110280201,12,12401,5,1,17,8,400000,NA,2889,1180000,1195827,1595827,NA,NA,NA,1180000,393333,531942,393333,11,3,1
720110210201,7,7201,11,2,21,8,50000,NA,NA,170000,180000,230000,NA,NA,NA,170000,56667,76667,56667,14,7,11
330110360401,3,3301,11,1,76,8,150000,NA,NA,150000,163229,313229,NA,NA,NA,0,30000,62646,0,0,0,NA
1312210230201,13,13122,14,2,17,8,0,NA,NA,665000,665000,665000,NA,NA,NA,665000,221667,221667,221667,9,3,2
430130021701,4,4301,4,1,32,8,50000,227273,227273,964546,1194754,1244754,227273,227273,227273,964546,241137,311189,241137,8,2,NA
1310210020201,13,13102,5,2,52,6,350000,510000,510000,1008333,1013265,1363265,450000,450000,510000,868333,201667,272653,173667,17,11,NA
710110360301,7,7101,1,2,59,1,0,230000,230000,1040000,1051052,1051052,NA,NA,NA,810000,346667,350351,270000,12,5,NA
1110111300201,11,11101,1,1,37,2,0,2510000,2510000,3510000,3510000,3510000,2500000,2500000,2510000,3510000,1170000,1170000,1170000,16,11,NA
740630021101,7,7406,1,2,40,5,100000,240000,276774,280000,338956,438956,70000,70000,90000,90000,70000,109739,22500,12,6,NA
1310310081001,13,13103,14,1,26,8,0,360000,393157,3080000,3121870,3121870,360000,360000,360000,3080000,220000,222991,220000,12,5,NA
831130010901,8,8311,10,1,37,8,200000,NA,NA,201667,206599,406599,NA,NA,NA,16667,67222,135533,5556,12,5,NA
1311010370401,13,13110,4,2,28,8,600000,NA,NA,3804167,3804167,4404167,NA,NA,NA,3804167,760833,880833,760833,16,9,9
510911630101,5,5109,5,2,16,8,250000,NA,NA,399167,404099,654099,NA,NA,NA,274167,133056,218033,91389,10,3,2
310112291701,3,3101,4,1,20,8,700000,NA,NA,1930325,1930325,2630325,NA,NA,NA,1930325,482581,657581,482581,13,9,8
730130040301,7,7301,4,1,33,8,80000,280000,280000,778000,778000,858000,280000,280000,280000,560000,259333,286000,186667,9,3,NA
830110510401,8,8301,10,2,2,8,100000,NA,11091,0,144196,244196,NA,NA,NA,0,0,40699,0,NA,0,2
740110010701,7,7401,5,1,40,6,250000,864167,864167,1199167,1199167,1449167,850000,850000,850000,850000,399722,483056,283333,18,11,NA
630130041001,6,6301,11,2,69,8,200000,103000,103000,906667,930702,1130702,NA,NA,NA,762000,151111,188450,127000,0,0,NA
