Value Added Agriculture, by country, 1870-1938 (indices, 1913=100);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;1800;1801;1802;1803;1804;1805;1806;1807;1808;1809;1810;1811;1812;1813;1814;1815;1816;1817;1818;1819;1820;1821;1822;1823;1824;1825;1826;1827;1828;1829;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;1931;1932;1933;1934;1935;1936;1937;1938
Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,5;8,8;9,2;9,5;9,9;10,3;11,1;12,1;11,7;12,6;12,4;13,1;16,1;17,7;19,0;20,5;21,5;23,8;26,0;23,0;25,3;28,4;31,8;33,6;41,6;47,7;45,5;38,1;38,2;49,8;45,6;53,5;47,8;66,6;75,0;75,4;74,7;68,7;88,8;85,2;78,7;67,2;101,5;100;90,4;109,1;92,8;60,6;107,4;105,0;114,7;110,2;111,0;121,0;147,0;125,5;150,4;155,6;161,4;165,1;134,0;162,0;152,6;149,6;160,1;183,0;167,3;173,8;155,6
Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;0,6;0,9;0,9;1,0;1,1;1,4;2,1;2,1;2,0;1,9;1,7;2,5;2,2;1,9;2,2;2,4;2,7;3,1;3,5;4,5;4,5;4,7;5,8;3,6;4,5;4,7;6,3;8,8;7,8;7,8;10,7;10,9;12,6;13,1;13,6;14,7;15,2;18,5;17,3;18,8;21,1;20,5;21,7;22,4;21,4;25,8;26,3;27,8;29,0;29,9;33,0;33,0;32,0;34,5;40,3;38,5;36,1;40,3;44,2;39,4;47,7;46,8;50,3;55,3;58,0;58,2;55,3;54,4;55,3;58,5;58,9;61,4;61,1;48,1;67,4;57,3;68,4;74,1;71,4;78,9;89,1;96,8;91,8;94,1;100;91,0;94,8;106,1;98,0;92,7;88,8;97,8;109,8;110,4;109,5;119,7;123,1;122,9;124,6;126,7;128,3;133,9;144,4;150,1;153,0;147,1;143,7;144,9;152,9;154,4
Austria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54,5;55,5;55,1;53,6;60,3;59,1;59,4;63,1;68,0;59,0;60,6;63,7;62,5;63,6;66,7;68,5;68,8;72,1;71,8;67,9;72,8;71,2;75,8;70,2;77,5;76,3;74,9;73,4;81,0;84,4;80,8;84,3;85,0;83,0;82,8;93,8;96,7;96,9;99,4;99,6;96,9;94,5;100,5;100;86,6;75,7;68,4;51,9;;;66,0;72,2;75,5;80,9;83,9;96,5;93,7;101,1;107,2;105,1;101,9;98,9;108,4;109,4;99,9;92,7;100,9;109,6;132,8
Hungary;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40,8;37,8;37,5;37,3;37,4;39,5;37,3;44,8;44,7;46,2;50,3;55,8;64,2;59,0;62,0;62,5;59,8;65,0;66,2;59,8;65,8;67,9;65,7;69,4;64,5;76,0;73,7;63,6;73,5;77,0;78,9;76,6;83,1;88,4;68,0;83,7;96,8;85,3;86,7;89,8;98,8;92,9;100,0;100;;;;;;;75,7;78,5;82,1;86,7;89,3;100,7;101,2;98,9;108,1;112,0;110,1;107,0;98,0;102,2;102,4;101,5;110,9;108,4;113,0
Belgium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;77,9;75,6;82,0;79,0;77,7;70,0;83,5;74,5;86,0;77,3;78,4;78,4;80,6;75,1;81,4;83,9;83,5;82,7;82,5;84,4;86,0;86,6;82,5;88,5;87,8;85,1;89,5;90,9;89,5;93,4;91,1;100,4;98,2;93,6;100,1;96,8;99,8;95,8;101,9;99,2;98,8;103,7;107,9;103,2;103,6;95,8;95,7;100;;;;;;71,0;73,4;74,1;71,0;78,4;78,3;81,9;85,2;78,8;89,4;85,7;86,3;90,2;100,5;102,5;91,7;96,6;90,5;90,0;93,6
Canada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,9;29,0;28,2;29,9;30,6;27,4;29,3;30,9;28,9;37,4;34,9;43,1;39,4;35,1;33,1;36,8;37,8;43,2;38,8;39,8;44,8;43,4;43,2;42,9;40,4;42,6;43,8;55,4;50,4;54,5;53,4;62,9;68,7;62,5;61,4;69,1;70,2;77,9;65,1;78,5;78,2;89,2;90,4;100;94,2;116,0;121,4;112,5;94,2;96,0;93,4;66,5;98,7;114,5;125,5;122,3;111,4;109,5;118,0;88,5;99,1;80,1;87,3;69,6;81,0;86,2;74,7;75,1;98,5
Chile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34,3;35,3;34,1;37,9;38,1;39,8;40,2;39,5;42,0;44,6;44,0;48,1;47,7;54,8;48,7;50,2;47,3;42,2;43,5;54,2;57,2;59,8;62,0;55,8;57,0;54,8;52,3;50,1;41,1;36,4;38,6;50,4;62,8;68,7;54,3;62,3;60,7;67,8;74,2;71,7;63,0;72,4;81,6;65,0;75,7;63,8;64,6;67,8;78,2;73,0;79,7;77,8;91,7;100;92,4;101,6;104,3;98,8;100,5;97,1;92,7;102,3;105,1;109,9;110,0;103,2;107,5;115,0;143,9;137,7;127,7;117,0;114,2;146,4;160,9;133,7;138,5;143,3;147,7
Denmark;;;;;;;;;;;;;;;;;;;27,5;27,7;27,4;28,5;28,2;28,7;29,4;30,2;29,5;30,0;30,6;30,0;30,7;30,4;30,2;30,8;31,9;31,0;31,3;32,0;32,1;33,4;34,1;33,3;33,2;34,6;36,2;37,0;38,7;37,1;38,9;40,8;41,7;40,7;42,1;42,5;43,1;50,9;42,0;42,6;42,5;45,9;44,6;45,6;45,7;48,1;44,8;51,3;51,0;49,3;47,0;49,2;54,1;53,4;56,4;54,7;55,3;53,9;54,7;50,7;54,4;55,6;56,8;55,8;57,7;58,1;55,8;54,0;59,3;60,3;56,4;58,2;65,3;69,8;67,6;65,2;63,0;69,1;70,7;53,5;65,0;65,3;72,6;77,1;76,0;85,5;85,6;84,6;80,7;86,3;90,7;90,7;96,0;100,1;95,9;100;116,4;92,1;101,9;99,5;77,0;68,9;82,2;93,9;104,4;117,1;121,3;116,6;123,6;128,3;136,9;151,7;161,6;161,2;174,4;169,5;162,9;159,5;161,6;162,2;168,4
Finland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,0;45,2;38,5;44,0;46,0;42,4;45,8;36,5;44,8;50,3;54,0;52,9;53,8;57,2;56,9;57,8;60,0;55,3;56,8;58,2;58,5;52,7;60,3;65,1;63,6;65,2;71,0;72,0;72,7;74,9;78,4;74,6;67,3;73,7;81,4;89,4;92,8;93,4;93,0;81,6;85,6;86,4;78,3;85,0;87,5;91,0;91,0;95,2;94,1;97,5;93,6;92,0;98,8;100;101,1;97,8;95,1;95,1;88,9;92,2;104,4;109,0;108,6;99,9;100,3;105,9;100,3;106,1;99,0;102,2;113,0;115,1;118,1;118,0;129,7;131,7;131,4;140,4;142,0
France;;;;;;;;;;;;;;;;40,7;41,9;45,9;44,6;50,5;46,9;51,7;47,5;52,0;53,1;48,2;49,9;49,4;51,3;52,9;51,8;53,8;59,6;55,6;55,7;57,6;54,9;57,0;59,6;57,9;62,5;62,5;59,9;63,7;67,3;61,2;59,2;75,1;73,1;70,2;70,2;68,1;71,9;59,2;66,7;61,6;65,4;76,2;82,4;70,5;78,2;68,8;84,3;86,1;86,4;81,8;79,9;69,9;82,1;85,7;81,1;76,8;82,3;71,5;89,6;91,3;75,7;82,1;79,4;67,6;75,0;76,8;81,6;82,0;82,1;80,8;79,0;79,2;79,1;78,5;83,2;80,6;83,7;86,7;91,2;87,0;90,5;79,6;88,2;94,7;100,1;94,5;90,1;91,0;95,9;95,8;93,1;100,9;100,2;101,1;85,4;96,1;103,2;100;;;;;;;91,1;92,1;98,9;97,3;106,4;107,7;95,9;105,7;105,6;116,3;101,0;109,1;110,3;113,6;120,7;113,4;106,1;108,1;120,2
