folio,region,comuna,pco1,sexo,edad,ecivil,yaimcorh,yautcor,ytotcor,yautcorh,ymonecorh,ytotcorh,yoprcor,yoprcorh,ytrabajocor,ytrabajocorh,ypchautcor,ypc,ypchtrabajo,esc,educ,depen
1310510300101,13,13105,10,2,15,8,150000,,,600000,600000,750000,,,,600000,100000,125000,100000,9,3,2
710210140701,7,7102,2,2,59,1,250000,,,392000,439331,689331,,,,220000,98000,172333,55000,8,2,
1320110300401,13,13201,1,2,33,8,150000,52500,78327,87417,146517,296517,,,52500,87417,21854,74129,21854,8,2,
1320230021001,13,13202,1,1,47,1,900000,1508333,1508333,2791666,2791666,3691666,1500000,1500000,1500000,1500000,930555,1230555,500000,13,6,
910330010701,9,9103,4,2,58,8,80000,1667,1667,501667,720823,800823,,,1667,501667,55741,88980,55741,12,5,
1311310110701,13,13113,13,2,1,8,0,,,781000,781000,781000,,,,781000,260333,260333,260333,,0,
610430011401,6,6104,1,1,42,8,100000,270000,270000,270000,270000,370000,270000,270000,270000,270000,270000,370000,270000,5,1,
830530010801,8,8305,2,2,45,1,100000,,44109,362500,428791,528791,,,,362500,72500,105758,72500,6,1,
330110680201,3,3301,1,2,27,8,150000,433333,433333,433333,433333,583333,430000,430000,433333,433333,216667,291667,216667,15,8,
611730032101,6,6117,4,2,17,8,200000,,,1093750,1093750,1293750,,,,1093750,273438,323438,273438,12,5,2
630330031001,6,6303,2,2,54,1,200000,270000,270000,1150000,1150000,1350000,270000,270000,270000,1150000,383333,450000,383333,11,3,
1310310031301,13,13103,4,1,26,8,200000,455000,455000,905000,905000,1105000,400000,400000,455000,905000,226250,276250,226250,14,7,
1311010870401,13,13110,10,2,3,8,300000,,,1750000,1750000,2050000,,,,1750000,218750,256250,218750,,0,
1311910570102,13,13119,5,1,22,8,250000,,33157,100000,133157,383157,,,,100000,33333,127719,33333,12,5,
1120110140201,11,11201,4,2,16,8,500000,,,3136667,3202771,3702771,,,,2916667,784167,925693,729167,10,3,2
810310172001,8,8103,4,1,3,8,300000,,,1206667,1206667,1506667,,,,1206667,301667,376667,301667,,0,3
420310120201,4,4203,14,2,21,8,0,400000,400000,870000,870000,870000,300000,300000,400000,870000,435000,435000,435000,15,9,
410110081001,4,4101,5,1,52,8,300000,,,80000,197321,497321,,,,80000,16000,99464,16000,8,2,
1360310060501,13,13603,2,2,64,1,200000,90000,90000,440000,440000,640000,,,,50000,110000,160000,12500,4,1,
1020130010201,10,10201,13,2,20,8,200000,,,245000,274406,474406,,,,245000,61250,118602,61250,13,9,9
1330230021501,13,13302,2,2,39,2,300000,800000,800000,1600000,1600000,1900000,600000,600000,800000,1600000,400000,475000,400000,12,5,
1310610020702,13,13106,1,2,55,5,250000,170000,195000,570000,595000,845000,170000,170000,170000,410000,142500,211250,102500,12,5,
841610060801,16,16301,2,2,51,1,100000,,,201667,322672,422672,,,,185000,50417,105668,46250,8,2,
910310040301,9,9103,1,2,51,6,80000,100000,100000,510000,510000,590000,100000,100000,100000,510000,170000,196667,170000,6,1,
580110651401,5,5801,1,1,43,1,250000,1100000,1100000,1100000,1100000,1350000,850000,850000,1100000,1100000,275000,337500,275000,16,9,
410211200601,4,4102,1,1,39,1,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,250000,250000,250000,12,5,
330110590801,3,3301,2,2,50,1,150090,,,904648,904648,1054738,,,,904648,226162,263685,226162,8,2,
610110151501,6,6101,1,1,47,8,350000,1210000,1210000,1646667,1646667,1996667,990000,990000,1110000,1260000,329333,399333,252000,17,11,
1010111010201,10,10101,1,2,67,1,120000,40000,162391,90000,212391,332391,,,,50000,18000,66478,10000,8,2,
920720031401,9,9207,1,1,42,1,100000,501833,501833,501833,545942,645942,500000,500000,501833,501833,125458,161486,125458,6,1,
1330230050601,13,13302,12,1,19,8,0,350000,350000,1210000,1347880,1347880,350000,350000,350000,1210000,172857,192554,172857,8,2,
310111690101,3,3101,4,1,18,8,300000,,,750000,750000,1050000,,,,750000,150000,210000,150000,13,7,9
730111201201,7,7301,4,2,11,8,80000,,,568333,597211,677211,,,,568333,142083,169303,142083,,1,2
580110040301,5,5801,3,1,37,2,0,491667,491667,741667,741667,741667,470000,470000,491667,691667,370834,370834,345834,18,11,
1410220021001,14,14102,1,2,64,7,100000,110000,112606,110000,112606,212606,110000,110000,110000,110000,110000,212606,110000,12,5,
841730011101,16,16304,5,2,42,8,100000,100000,118459,238750,377546,477546,,,,8750,59688,119387,2188,6,1,
840230011301,16,16102,2,2,59,1,150000,,,133000,144738,294738,,,,0,66500,147369,0,6,1,
710111052401,7,7101,2,2,39,2,150000,279167,286535,662500,691978,841978,275000,275000,279167,554167,165625,210495,138542,12,5,
110110361001,1,1101,4,2,28,2,300000,,29406,1495000,1524406,1824406,,,,700000,249167,304068,116667,16,9,10
1310910050901,13,13109,1,1,60,5,100000,323333,323333,323333,323333,423333,280000,280000,323333,323333,323333,423333,323333,13,6,
910111230101,9,9101,2,2,68,1,1000000,1700000,1700000,14600000,14600000,15600000,1000000,1000000,1000000,13000000,7300000,7800000,6500000,17,11,
1010610030601,10,10106,2,2,57,1,80000,140000,140000,257070,317658,397658,140000,140000,140000,257070,64268,99415,64268,8,2,
1311610170501,13,13116,10,1,14,8,0,,,1632417,1632417,1632417,,,,1632417,233202,233202,233202,,3,2
1210110890101,12,12101,1,2,80,7,100000,315000,319932,1255000,1272607,1372607,,,,940000,418333,457536,313333,10,3,
611530042101,6,6115,1,1,34,1,0,279167,279167,785834,785834,785834,275000,275000,279167,785834,261945,261945,261945,12,5,
1030110680301,10,10301,1,1,52,1,180000,100000,100000,470000,470000,650000,100000,100000,100000,470000,156667,216667,156667,9,3,
730930011701,7,7309,5,1,42,8,50000,448333,448333,896666,1114574,1164574,400000,400000,448333,896666,149444,194096,149444,3,1,
580110350301,5,5801,11,2,84,8,100000,200000,200000,450000,450000,550000,,,,0,225000,275000,0,6,2,
730110630901,7,7301,2,2,28,2,0,330000,350980,1100000,1120980,1120980,325000,325000,330000,1030000,275000,280245,257500,17,11,
1311610050402,13,13116,4,1,15,8,250000,,11091,950000,1023875,1273875,,,,950000,95000,127388,95000,10,4,2
570510050201,5,5705,11,2,59,8,200000,,,0,0,200000,,,,0,0,66667,0,12,5,
610110700301,6,6101,4,2,36,8,250000,,,609524,620576,870576,,,,609524,101587,145096,101587,14,9,10
810110220401,8,8101,2,2,46,1,220000,682500,682500,1710833,1710833,1930833,600000,600000,675000,1703333,342167,386167,340667,15,8,
730110940205,7,7301,1,2,26,2,150000,,,348333,348333,498333,,,,348333,116111,166111,116111,8,2,
610130030901,6,6101,2,2,46,2,0,273667,273667,667334,677824,677824,267000,267000,273667,667334,222445,225941,222445,8,2,
1312310450201,13,13123,5,2,15,8,0,300000,300000,4327500,4327500,4327500,,,,2960000,865500,865500,592000,9,3,3
1311710171401,13,13117,4,2,30,8,200000,898333,898333,1291666,1401244,1601244,800000,800000,898333,1291666,430555,533748,430555,12,6,
210110580201,2,2101,2,2,44,1,450000,1500000,1500000,5650000,5763359,6213359,1500000,1500000,1500000,5650000,941667,1035560,941667,19,10,9
510910580101,5,5109,4,2,25,8,0,4800000,4800000,5882500,5882500,5882500,,,4800000,5882500,1470625,1470625,1470625,17,11,
920830010701,9,9208,2,2,82,1,100000,,109578,356834,471344,571344,,,,136667,118945,190448,45556,6,2,
610610210201,6,6106,10,1,10,8,150000,90000,90000,818417,860158,1010158,,,,728417,163683,202032,145683,,1,2
550110400101,5,5501,4,2,9,8,0,,,840000,881052,881052,,,,840000,168000,176210,168000,,1,1
840510090101,16,16302,4,2,3,8,0,,,440000,451091,451091,,,,440000,146667,150364,146667,,0,
1310410190301,13,13104,6,2,26,8,0,300000,300000,670874,692912,692912,300000,300000,300000,670874,167719,173228,167719,14,7,
1410111560601,14,14101,1,1,79,7,200000,166000,168500,166000,168500,368500,,,,0,166000,368500,0,12,5,
510110650601,5,5101,2,2,57,1,300000,,,1300000,1300000,1600000,,,,300000,433333,533333,100000,12,5,
1510130101702,15,15101,2,1,77,1,200000,180000,180000,180000,290646,490646,,,,0,90000,245323,0,6,2,
620310110101,6,6203,5,2,16,8,150000,,,600000,600000,750000,,,,600000,200000,250000,200000,10,3,1
1310910060501,13,13109,2,1,66,1,500000,505000,505000,1510000,1522675,2022675,400000,400000,400000,1300000,302000,404535,260000,9,3,
110112040702,1,1101,4,1,38,8,400000,775833,775833,1532499,1641745,2041745,500000,500000,775833,1532499,383125,510436,383125,12,5,
510911510301,5,5109,2,2,62,1,250000,,104646,270750,384396,634396,,,,270750,135375,317198,135375,5,1,
210112400401,2,2101,10,1,6,8,0,120000,120000,2159666,2174478,2174478,,,,1611666,431933,434896,322333,,1,2
1311210252401,13,13112,5,2,13,8,200000,,11091,300000,336162,536162,,,,300000,75000,134041,75000,,1,2
1210112710201,12,12101,5,1,17,8,300000,100000,100000,600000,613713,913713,,,,500000,200000,304571,166667,9,3,1
910111570301,9,9101,4,1,2,8,0,,,1201000,1201000,1201000,,,,1201000,300250,300250,300250,,0,
841130011701,16,16106,2,2,53,1,200000,350000,350000,1010785,1010785,1210785,350000,350000,350000,876000,202157,242157,175200,4,1,
841120011701,16,16106,1,2,42,5,180000,276000,296418,276000,296418,476418,276000,276000,276000,276000,92000,158806,92000,12,5,
110710170201,1,1107,6,2,36,1,250000,,,384167,488813,738813,,,,384167,64028,123136,64028,12,6,
1410111030501,14,14101,4,2,26,8,300000,587353,587353,794364,794364,1094364,587353,587353,587353,587353,198591,273591,146838,17,10,9
1410610110101,14,14106,5,1,21,8,70000,274000,274000,548000,573000,643000,,,274000,548000,274000,321500,274000,11,3,
1311010651702,13,13110,1,1,49,1,170000,250000,250000,385000,445000,615000,250000,250000,250000,250000,128333,205000,83333,8,2,1
1030110790801,10,10301,2,2,67,1,350000,200000,200000,470000,470000,820000,,,,270000,235000,410000,135000,17,12,
810310150301,8,8103,1,1,52,1,140000,300000,313612,300000,313612,453612,300000,300000,300000,300000,75000,113403,75000,9,3,
810710020401,8,8107,1,2,57,5,150000,50000,50000,403333,403333,553333,50000,50000,50000,403333,201667,276667,201667,7,1,
810310431301,8,8103,10,1,21,8,80000,200000,200000,870000,870000,950000,200000,200000,200000,870000,290000,316667,290000,8,2,
1311410810101,13,13114,1,1,42,2,800000,2040000,2040000,4363000,4363000,5163000,1780000,1780000,2040000,4363000,1090750,1290750,1090750,20,12,
1210112130101,12,12101,1,1,43,8,400000,810000,810000,810000,810000,1210000,800000,800000,810000,810000,810000,1210000,810000,12,5,
630330010601,6,6303,1,1,31,2,0,300000,300000,300000,318459,318459,300000,300000,300000,300000,75000,79615,75000,8,2,
310112430701,3,3101,2,2,61,1,350000,,,2127246,2127246,2477246,,,,2127246,425449,495449,425449,13,6,
1510110940801,15,15101,1,2,69,5,350000,105000,113616,1605000,1613616,1963616,,,,1500000,229286,280517,214286,12,5,
1340110150101,13,13401,4,1,25,8,0,,,1122234,1181046,1181046,,,,1122234,140279,147631,140279,14,9,
810310481801,8,8103,4,1,9,8,150000,,,905354,918966,1068966,,,,905354,226339,267242,226339,,1,2
420130011001,4,4201,5,2,63,6,150000,,,183417,183417,333417,,,,417,91709,166709,209,8,2,
1310610311801,13,13106,2,2,26,1,0,,,700000,700000,700000,,,,700000,350000,350000,350000,12,5,
620310070401,6,6203,1,2,75,8,150000,264653,264653,264653,264653,414653,,,,0,264653,414653,0,10,3,
1110110270201,11,11101,1,2,76,7,300000,,104646,0,104646,404646,,,,0,0,202323,0,8,3,
